146421,机器翻译
146422,机器翻译
146423,人类作者
146424,机器翻译
146425,机器作者
146426,自动摘要
146427,自动摘要
146428,人类作者
146429,自动摘要
146430,机器翻译
146431,机器翻译
146432,人类作者
146433,自动摘要
146434,人类作者
146435,机器作者
146436,机器翻译
146437,机器作者
146438,机器作者
146439,人类作者
146440,自动摘要
146441,人类作者
146442,机器作者
146443,机器翻译
146444,人类作者
146445,自动摘要
146446,机器作者
146447,人类作者
146448,机器翻译
146449,人类作者
146450,自动摘要
146451,机器作者
146452,机器翻译
146453,人类作者
146454,机器翻译
146455,人类作者
146456,自动摘要
146457,机器翻译
146458,机器翻译
146459,机器作者
146460,机器翻译
146461,自动摘要
146462,人类作者
146463,人类作者
146464,自动摘要
146465,机器翻译
146466,机器翻译
146467,机器作者
146468,机器翻译
146469,机器翻译
146470,人类作者
146471,机器作者
146472,人类作者
146473,机器翻译
146474,机器翻译
146475,人类作者
146476,机器翻译
146477,机器作者
146478,自动摘要
146479,机器作者
146480,人类作者
146481,机器翻译
146482,机器翻译
146483,自动摘要
146484,人类作者
146485,人类作者
146486,机器翻译
146487,机器翻译
146488,自动摘要
146489,自动摘要
146490,自动摘要
146491,人类作者
146492,人类作者
146493,人类作者
146494,机器作者
146495,自动摘要
146496,机器翻译
146497,人类作者
146498,机器翻译
146499,机器翻译
146500,机器翻译
146501,机器作者
146502,机器作者
146503,人类作者
146504,自动摘要
146505,机器作者
146506,机器翻译
146507,机器翻译
146508,机器作者
146509,自动摘要
146510,人类作者
146511,人类作者
146512,机器翻译
146513,机器作者
146514,自动摘要
146515,人类作者
146516,机器翻译
146517,人类作者
146518,自动摘要
146519,机器翻译
146520,自动摘要
146521,自动摘要
146522,自动摘要
146523,人类作者
146524,自动摘要
146525,机器翻译
146526,人类作者
146527,自动摘要
146528,机器作者
146529,人类作者
146530,机器翻译
146531,人类作者
146532,机器翻译
146533,机器作者
146534,自动摘要
146535,自动摘要
146536,人类作者
146537,人类作者
146538,机器作者
146539,机器翻译
146540,机器翻译
146541,人类作者
146542,机器作者
146543,人类作者
146544,人类作者
146545,机器翻译
146546,机器翻译
146547,人类作者
146548,机器翻译
146549,自动摘要
146550,自动摘要
146551,人类作者
146552,自动摘要
146553,机器作者
146554,人类作者
146555,人类作者
146556,机器翻译
146557,机器翻译
146558,机器翻译
146559,机器翻译
146560,自动摘要
146561,机器作者
146562,人类作者
146563,自动摘要
146564,机器翻译
146565,机器翻译
146566,自动摘要
146567,机器翻译
146568,机器翻译
146569,机器翻译
146570,机器作者
146571,机器翻译
146572,人类作者
146573,机器翻译
146574,机器作者
146575,机器翻译
146576,人类作者
146577,自动摘要
146578,机器翻译
146579,机器作者
146580,人类作者
146581,自动摘要
146582,机器作者
146583,自动摘要
146584,自动摘要
146585,机器作者
146586,机器作者
146587,机器翻译
146588,机器作者
146589,自动摘要
146590,机器作者
146591,人类作者
146592,自动摘要
146593,机器翻译
146594,自动摘要
146595,自动摘要
146596,机器作者
146597,机器翻译
146598,机器翻译
146599,机器翻译
146600,机器作者
146601,自动摘要
146602,机器翻译
146603,人类作者
146604,机器翻译
146605,机器作者
146606,自动摘要
146607,机器作者
146608,机器翻译
146609,自动摘要
146610,自动摘要
146611,机器作者
146612,机器翻译
146613,机器作者
146614,人类作者
146615,机器作者
146616,机器作者
146617,机器作者
146618,机器翻译
146619,机器作者
146620,机器翻译
146621,机器翻译
146622,人类作者
146623,机器翻译
146624,机器翻译
146625,机器作者
146626,机器作者
146627,自动摘要
146628,机器作者
146629,自动摘要
146630,人类作者
146631,机器翻译
146632,自动摘要
146633,人类作者
146634,人类作者
146635,人类作者
146636,自动摘要
146637,人类作者
146638,机器作者
146639,自动摘要
146640,机器翻译
146641,人类作者
146642,自动摘要
146643,人类作者
146644,人类作者
146645,人类作者
146646,人类作者
146647,机器翻译
146648,机器作者
146649,机器作者
146650,自动摘要
146651,机器作者
146652,人类作者
146653,人类作者
146654,人类作者
146655,人类作者
146656,机器作者
146657,人类作者
146658,机器作者
146659,人类作者
146660,自动摘要
146661,机器翻译
146662,人类作者
146663,人类作者
146664,机器作者
146665,机器翻译
146666,人类作者
146667,机器翻译
146668,机器作者
146669,自动摘要
146670,人类作者
146671,人类作者
146672,自动摘要
146673,机器翻译
146674,人类作者
146675,人类作者
146676,机器翻译
146677,人类作者
146678,自动摘要
146679,机器作者
146680,机器作者
146681,自动摘要
146682,机器作者
146683,人类作者
146684,机器翻译
146685,机器作者
146686,机器作者
146687,自动摘要
146688,机器翻译
146689,机器翻译
146690,自动摘要
146691,机器作者
146692,人类作者
146693,机器作者
146694,机器翻译
146695,人类作者
146696,机器翻译
146697,机器翻译
146698,机器翻译
146699,人类作者
146700,人类作者
146701,机器翻译
146702,人类作者
146703,机器翻译
146704,自动摘要
146705,自动摘要
146706,自动摘要
146707,机器翻译
146708,自动摘要
146709,自动摘要
146710,机器翻译
146711,人类作者
146712,机器作者
146713,人类作者
146714,机器作者
146715,机器作者
146716,自动摘要
146717,人类作者
146718,人类作者
146719,人类作者
146720,机器作者
146721,机器作者
146722,自动摘要
146723,自动摘要
146724,机器翻译
146725,机器作者
146726,人类作者
146727,机器翻译
146728,人类作者
146729,人类作者
146730,机器作者
146731,机器作者
146732,自动摘要
146733,机器作者
146734,人类作者
146735,人类作者
146736,人类作者
146737,自动摘要
146738,机器作者
146739,机器作者
146740,人类作者
146741,自动摘要
146742,人类作者
146743,人类作者
146744,自动摘要
146745,机器作者
146746,人类作者
146747,自动摘要
146748,机器作者
146749,自动摘要
146750,人类作者
146751,机器作者
